priref	name	name_rkd_matching	rkd_reconcile_match_score	rkd_uri	rkd_id_reconciliation	Aantal gelinkte records	digital_reference	gender	birth.date.start	birth.date.end	birth.place	death.date.start	death.date.end	death.place
130	Rossum, van	Van Rossum & Co	100.0	https://data.rkd.nl/artists/447584	447584	2		man						
336	Bruin, de	Bruin, Han de	80.0	https://data.rkd.nl/artists/13413	13413	1		man						
505	Plug, Marian	Plug, Marian	100.0	https://data.rkd.nl/artists/63900	63900	168	https://rkd.nl/explore/artists/63900	vrouw	1937-08-01T23:00:00Z	1937-08-01T23:00:00Z	ALMELO			
1464	Vries, de	Vries, Paul de	83.33	https://data.rkd.nl/artists/82144	82144	12		man						
2315	Groen	Groen, Jan	72.73	https://data.rkd.nl/artists/368122	368122	23		man						
2936	Snijders	Snijders-Winkel, U.	93.33	https://data.rkd.nl/artists/211160	211160	10		man						
3629	Laat, K.E.J.M. de	Laat, K.E.J.M. de				1		vrouw						
3642	Brink, van den	Brink, H. van den	85.71	https://data.rkd.nl/artists/12620	12620	2		vrouw						
4645	Spijker	Spijker, B. E.	85.71	https://data.rkd.nl/artists/372595	372595	1		man						
4892	Gelderland	Gelderland	100.0	https://data.rkd.nl/artists/337341	337341	1		man						
4895	Riemersma	Bos-Riemersma, Gé	88.89	https://data.rkd.nl/artists/123004	123004	1		man						
5925	SDU Uitgevers BV	SDU Uitgevers BV				15		niet van toepassing						
6364	Wit, de	Wit-Smits, Jet de	72.73	https://data.rkd.nl/artists/88528	88528	2		niet van toepassing						
8574	Stichting Kunst en Openbare Ruimte	Stichting Kunst en Openbare Ruimte				4		niet van toepassing						
9686	Vuuren, van	Vuuren, Jan van	84.21	https://data.rkd.nl/artists/82292	82292	1		man						
12711	Hèman, Gerard	Hèman, Gerard	100.0	https://data.rkd.nl/artists/37324	37324	31	https://rkd.nl/explore/artists/37324	man	1914-07-16T23:00:00Z	1914-07-16T23:00:00Z	Duisburg	1992-07-10T22:00:00Z	1992-07-10T22:00:00Z	Rotterdam
12712	Beekum, R. van	Beekum, R. van				3	https://rkd.nl/explore/artists/5737	man	1950-10-19T23:00:00Z	1950-10-19T23:00:00Z	Rijswijk ZH			
12713	Veld, H.W. op het	Veld, H.W. op het				18	https://rkd.nl/explore/artists/79757	man	1926-07-03T23:00:00Z	1926-07-03T23:00:00Z	Vlodrop			
12716	Köppen, M.	Köppen, M.				17		man	1953	1953	AMSTENRADE			
12719	Kieft, J.	Kieft, J.				4	https://rkd.nl/explore/artists/44269	man	1798-07-10	1798-07-10	DE RIJP	1870-12-20	1870-12-20	Amsterdam
12720	German, Lower-Rhine	German, Lower-Rhine				2		niet van toepassing						
12723	Ven, H. van der	Ven, H. van der				28	https://rkd.nl/explore/artists/79929	man	1951-01-06T23:00:00Z	1951-01-06T23:00:00Z	Deventer			
12725	Stok, J.S. van der	Stok, J.S. van der				2		vrouw	1919-07-16T23:00:00Z	1919-07-16T23:00:00Z	Den Haag	1989-08-28T22:00:00Z	1989-08-28T22:00:00Z	AMERSFOORT
12726	Pirngadie, M.	Pirngadie, M.				1		man	1875	1875		1936	1936	
12731	Ricken, W.A.	Ricken, W.A.				71	https://rkd.nl/explore/artists/66725	man	1943-04-24T22:00:00Z	1943-04-24T22:00:00Z	DEN BOSCH			
12732	Gouwe, Herman	Gouwe, Herman	100.0	https://data.rkd.nl/artists/33060	33060	8	https://rkd.nl/explore/artists/33060	man	1875-05-08	1875-05-08	ALKMAAR	1965-12-27T23:00:00Z	1965-12-27T23:00:00Z	Papeete
12734	Lie, H.	Lie, H.				16	https://rkd.nl/explore/artists/49918	man	1941-01-20T22:00:00Z	1941-01-20T22:00:00Z	Nickerie			
12736	Flanagan, B.	Flanagan, B.				1		man	1941-01-10T22:00:00Z	1941-01-10T22:00:00Z	Prestatyn			
12740	Termote, A.P.	Termote, A.P.				11		man	1887-03-31	1887-03-31	Lichtervelde	1978-04-12T23:00:00Z	1978-04-12T23:00:00Z	VOORBURG
12745	Vries, A. de	Vries, Kees de (1940)	77.78	https://data.rkd.nl/artists/110089	110089	1		man						
12746	Verheyen, J.P.	Verheyen, J.P.				1	https://rkd.nl/explore/artists/80305	man	1899-05-28	1899-05-28	Amsterdam	1976-09-14T23:00:00Z	1976-09-14T23:00:00Z	Amsterdam
12747	Lunteren, J.M. van	Lunteren, J.M. van				47	https://rkd.nl/explore/artists/51363	man	1945-10-17T22:00:00Z	1945-10-17T22:00:00Z	ALKMAAR			
12748	Coupier Fils & Drouart/Paris	Coupier Fils & Drouart/Paris				1		niet van toepassing						
12750	Hollenbach, J.L.	Hollenbach, J.L.				18	https://rkd.nl/explore/artists/39188	man	1943-02-12T23:00:00Z	1943-02-12T23:00:00Z	SCHIEDAM	1976-11-21T23:00:00Z	1976-11-21T23:00:00Z	Rotterdam
12754	Straten-Lindner, C. van	Straten-Lindner, C. van				6	https://rkd.nl/explore/artists/50180	vrouw	1942-09-27T22:00:00Z	1942-09-27T22:00:00Z	Den Haag			
12755	Strij, A. van	Strij, A. van				7	https://rkd.nl/explore/artists/75741	man	1753-12-31	1753-12-31	DORDRECHT	1826-03-07	1826-03-07	DORDRECHT
12759	Leeuwen, H. van (1890-01-22)	Leeuwen, H. van (1890-01-22)				1	https://rkd.nl/explore/artists/48955	man	1890-01-22	1890-01-22	TER AAR	1972-08-22T23:00:00Z	1972-08-22T23:00:00Z	VOORBURG
12766	Reicher, A.F.	Reicher, A.F.				3		man	1858-05-18	1858-05-18	KAMPEN	1938-03-13T23:00:00Z	1938-03-13T23:00:00Z	Amsterdam
12768	Greiner, D.	Greiner, D.				9	https://rkd.nl/explore/artists/33663	man	1891-11-06	1891-11-06	Amsterdam	1964	1964	Amsterdam
12769	Akkeringa, J.E.H.	Akkeringa, J.E.H.				16	https://rkd.nl/explore/artists/817	man	1861-01-17	1861-01-17	Banka	1942-04-11T22:00:00Z	1942-04-11T22:00:00Z	AMERSFOORT
12772	Wensveen, J.W.L. van	Wensveen, J.W.L. van				185	https://rkd.nl/explore/artists/83605	man	1935-02-21T23:00:00Z	1935-02-21T23:00:00Z	Jutphaas			
12774	Brähler-Kühnen, D.	Brähler-Kühnen, D.				1	https://rkd.nl/explore/artists/98518	vrouw	1906	1906	UTRECHT			
12776	Titos	Titos	100.0	https://data.rkd.nl/artists/310911	310911	1		man	1963	1963	Maputo			
12777	Horrix, M.	Horrix, M.				2	https://rkd.nl/explore/artists/119836	man	1735	1735	Lobberich	1809-03-12	1809-03-12	Den Haag
12778	Desanges, L.W.	Desanges, L.W.				1	https://rkd.nl/explore/artists/22124	man	1822	1822	Bexley	1887	1887	
12779	onbekend	onbekend				10657		onbekend						
12780	Holst, P.	Holst, P.				1		man						
12781	Vermeulen, P.J.	Vermeulen, P.J.				1		man						
12782	Lierop, W. van	Lierop, W. van				20	https://rkd.nl/explore/artists/49979	man	1891-07-02	1891-07-02	Nieuwer-Amstel	1968-04-20T23:00:00Z	1968-04-20T23:00:00Z	WAGENINGEN
12783	Haas-Strijk, R. de	Haas-Strijk, R. de				38	https://rkd.nl/explore/artists/75751	vrouw	1939-12-08T23:00:00Z	1939-12-08T23:00:00Z	ALMELO			
12785	Deirkauf, R.G.R.C.	Deirkauf, R.G.R.C.				37	https://rkd.nl/explore/artists/21471	man	1946-05-05T22:00:00Z	1946-05-05T22:00:00Z	BILTHOVEN			
12786	Vinson-Cheret, C.	Vinson-Cheret, C.				1		man						
12787	Drion, W.F.	Drion, W.F.				101	https://rkd.nl/explore/artists/24262	man	1946-07-18T22:00:00Z	1946-07-18T22:00:00Z	Voorburg ZH			
12789	Rovers, J.J.	Rovers, J.J.				8	https://rkd.nl/explore/artists/68622	man	1893-12-15	1893-12-15	UTRECHT	1976-10-06T23:00:00Z	1976-10-06T23:00:00Z	Amsterdam
12792	Schut, W.	Schut, W.				1		onbekend						
12793	Metz & Co.	Metz & Co	100.0	https://data.rkd.nl/artists/335120	335120	39		niet van toepassing						
12796	Chapuis, E.	Chapuis, E.				2		man						
