thesau_%0,term,term.soort,term.status,use_count,narrower_term,broader_term,related_term,equivalent_term,invoer.naam,invoer.bron,invoer.datum,RNA_identifier,bijzonderheden,wijziging.naam,wijziging.datum,wijziging.bron
134,'s-Graveland,geografisch trefwoord#gemeente#plaats,descriptor,998,"","","","",karina,thesau,2000-06-05,"","Used for: Graveland, 's",rcekarina#RCEAdmin#VAART,2023-06-23#2014-01-27#2004-01-16,thesau>thesau#thesau#thesau
60771,'s-Graveland,plaats,kandidaat,3,"","","","","","",,"","",RCEAdmin,2012-01-09,thesau
14829,'s-Gravendeel,geografisch trefwoord#plaats#gemeente,descriptor,59,"","","","",Conversie AIS,"",2000-06-20,"","",rcekarina#rcekarina#RCEAdmin#IRENE,2023-09-07#2023-09-07#2014-01-27#2003-03-10,thesau>thesau#thesau>thesau#thesau#catalo>photographs
66,'s-Gravenhage,geografisch trefwoord#gemeente#plaats,descriptor,17276,"","","","",karina,thesau,1998-06-15,"",Used for: Den Haag#Used for: Gravenhage,rcekarina#rcekarina#RCEAdmin#VAART,2023-09-07#2023-09-01#2014-01-27#2003-09-26,thesau>thesau#thesau>thesau#thesau#thesau
60765,'s-Gravenhage,plaats,kandidaat,26,"","","","","","",,"","",RCEAdmin#RCEAdmin,2014-01-27#2012-01-09,thesau#thesau
64293,'s-Gravenhage,plaats#gemeente,kandidaat,28,"","","","","","",,"","",RCEAdmin#RCEAdmin,2014-01-27#2012-01-09,thesau#thesau
3821,'s-Gravenzande,geografisch trefwoord#plaats#gemeente#onderwerp,descriptor,174,"","","","",Conversie AIS,"",2000-06-20,"","",rcekarina#rcekarina#RCEAdmin#VAART,2023-06-26#2023-06-23#2014-01-27#2004-01-09,thesau>thesau#thesau>thesau#thesau#thesau
923,'s-Heerenberg,geografisch trefwoord#plaats#gemeente#onderwerp,descriptor,538,"","","","",Conversie AIS,"",2000-06-20,"","",RCEAdmin#VAART,2014-01-27#2003-09-26,thesau#thesau
51666,'s-Heerenberg,geografisch trefwoord#plaats,kandidaat,1,"","","","","","",,"","",RCEPetra#RCEPetra,2014-05-15#2014-05-15,document>book#document>book
60824,'s-Heerenberg,plaats,kandidaat,3,"","","","","","",,"","",RCEAdmin,2012-01-09,thesau
62156,'s-Heerenberg,plaats,kandidaat,11,"","","","","","",,"","",RCEAdmin#RCEAdmin,2014-01-27#2012-01-09,thesau#thesau
401,'s-Hertogenbosch,geografisch trefwoord#gemeente#plaats,descriptor,5342,"","","","",karina,thesau,2000-01-07,"","",rcekarina#rcekarina#RCEAdmin#RCEAdmin,2023-08-31#2023-08-31#2014-01-27#2012-09-10,thesau>thesau#thesau>thesau#thesau#thesau
35167,'s-Hertogenbosch,plaats,kandidaat,1,"","","","","","",,"","",RCEAdmin,2012-01-09,thesau
76471,'s-Hertogenbosch,plaats#gemeente,kandidaat,28,"","","","","","",,"","",RCEAdmin,2012-09-10,thesau
81466,2e Exloërmond,plaats,descriptor,1,"",Borger-Odoorn,"","","",rce.rnatoolset.net,,"","",RCEAdmin#RCEAdmin,2018-02-15#2014-01-28,#thesau
21229,Aa en Hunze,gemeente#geografisch trefwoord#onderwerp,descriptor,301,"","","","",carin,catalo>document,2000-09-19,"","",RCEAdmin#rceadmin#marjorie,2014-01-27#2013-02-11#2001-01-10,thesau#thesau#catalo>book
