thesau_%0,term,term.soort,term.status,use_count,narrower_term,broader_term,related_term,equivalent_term,invoer.naam,invoer.bron,invoer.datum,RNA_identifier,bijzonderheden,wijziging.naam,wijziging.datum,wijziging.bron,dubbel
24399,"potlood, pen en inkt in rood en aquarel; papier op linnen",techniek,descriptor,1,"","","","",Upgrade 2.1.2,"",2004-10-20,"","","","","",FALSE
24400,pen en aquarel; papier op linnen,techniek,descriptor,3,"","","","",Upgrade 2.1.2,"",2004-10-20,"","","","","",FALSE
24402,potlood en pen in zwart; calque,techniek,descriptor,1,"","","","",Upgrade 2.1.2,"",2004-10-20,"","","","","",FALSE
24403,pen en aquarel; op linnen,techniek,descriptor,1,"","","","",Upgrade 2.1.2,"",2004-10-20,"","","","","",FALSE
62043,Ankersweg; Basisschool Plus,geografisch trefwoord,kandidaat,1,"","","","","","",,"","","","","",FALSE
62635,"Wijk: Zuilen; Marnixlaan, Van Hoornekade",geografisch trefwoord,kandidaat,1,"","","","","","",,"","","","","",FALSE
62919,vindplaats 5Z_2; Almere Hout Noord,geografisch trefwoord,kandidaat,1,"","","","","","",,"","","","","",FALSE
62972,Steenbergseweg; klutsdorp,geografisch trefwoord,kandidaat,1,"","","","","","",,"","","","","",FALSE
63817,Lent; Visveldsestraat,geografisch trefwoord,kandidaat,1,"","","","","","",,"","","","","",FALSE
63852,Molensteeg 2; De Driesprong,geografisch trefwoord,kandidaat,1,"","","","","","",,"","","","","",FALSE
64646,Conradkade; Cornelis de Wittlaan; President Kennedylaan,geografisch trefwoord,kandidaat,1,"","","","","","",,"","","","","",FALSE
64654,Oude Elspeterweg; Echoput,geografisch trefwoord,kandidaat,1,"","","","","","",,"","","","","",FALSE
65163,SPUI/Amsterdamste veerkade;St.Jacobsstraat-Kranenstraat.,geografisch trefwoord,kandidaat,1,"","","","","","",,"","","","","",FALSE
65323,vroege geschiedenis ; België,onderwerp,niet gedefinieerd,1,"","","","","","",,"",bt: geschiedenis van België#bt: vroege geschiedenis#rt: België#tc: 15.63.12,"","","",FALSE
65364,archeologie ; prehistorie,onderwerp,niet gedefinieerd,12,"","","","","","",,"",bt: archeologie#bt: prehistorie#nt: archeologie ; prehistorie ; Nederland#nt: archeologie ; prehistorie ; Noord-Amerika#nt: archeologie ; prehistorie ; Noord-Europa#nt: archeologie ; prehistorie ; West- en Centraal-Europa#nt: Prehistorische stenen monumenten#rt: prehistorische kunst#tc: 15.32,"","","",FALSE
65365,archeologie ; klassieke oudheid,onderwerp,niet gedefinieerd,37,"","","","","","",,"",bt: archeologie#nt: terra sigillata#rt: oudheid#rt: Romeinse rijk#tc: 15.33,"","","",FALSE
