Term in CSV,Other Term in CSV,Similarity Score
Snelwegen,Snelweg,88
Monumentenbeleid,Monumentenbeleidsplan,86
herinrichting,inrichting,87
Natuurbeheer,natuurbeheer,92
archeologische monumentenzorg,Archeologische monumentenkaart,85
archeologische monumentenzorg,Archeologische monumenten,89
archeologische monumentenzorg,archeologisch monument,86
archeologie,Fytoarcheologie,85
archeologie,Etnoarcheologie,85
archeologie,Veldarcheologie,85
archeologie,geoarcheologie,88
dijkversterking,dijkverbetering,87
Waterbeheersing,Waterbeheer,85
Cultuurhistorische waarde,Cultuurhistorische waardenkaart,89
Cultuurhistorische waarde,cultuurhistorische waarden,94
Cultuurhistorische waarde,Cultuurhistorische analyse,86
Stad,Stand,89
architectuur,tuinarchitectuur,86
architectuur,Leemarchitectuur,86
architectuur,Glasarchitectuur,86
ruimtelijke ontwikkeling,Stedelijke ontwikkeling,85
Uiterwaard,Uiterwaarden,91
Stedelijke ontwikkeling,ruimtelijke ontwikkeling,85
Stedelijke ontwikkeling,prestedelijke ontwikkeling,90
Stedelijke ontwikkeling,Vroeg stedelijke ontwikkeling,85
planologie,palynologie,86
cultuurhistorie,Cultuuhistorie,90
Landschappen,Landschapsparken,86
Landschappen,Landschapsplan,85
Stadsrand,Stadsbrand,95
Nationaal landschap,Nationaal landschapspark,88
Nationaal landschap,Nationale landschappen,88
Landinrichting,Landinrichtingswet,88
Landinrichting,Landrichting,92
Belasting,Belastingwet,86
Belasting,Belastingen,90
Kroniek,kroniek,86
mandenmakerij,mandenmakerijen,93
Gilde,Gilden,91
Restauratiefonds,Restauraties,86
Terrazzo,Verrazzo,88
Veiling,Veilingen,88
thermen,termen,92
thermen,hermen,92
Kunsthistorisch onderzoek,Bouwhistorisch onderzoek,86
Kunsthistorisch onderzoek,cultuurhistorisch onderzoek,85
Kunsthistorisch onderzoek,Kleurhistorisch onderzoek,88
Kunsthistorisch onderzoek,tuinhistorisch onderzoek,90
Waterschap,Waterschade,86
Waterschap,Waterschappen,87
Vestingwerk,Vestingwerken,92
Monumentenwacht,Monumentenwet,86
Monumentenwacht,Monumentenrecht,87
Legermuseum,Leesmuseum,86
Financien,Financiering,86
Ministerie van WVC,Ministerie van VWS,89
