Term in CSV|Other Term in CSV|Percentage Match
Natuurbeheer|natuurbeheer|91.66666666666666
Cultuurhistorische waarde|cultuurhistorische waarden|92.3076923076923
cultuurhistorie|Cultuuhistorie|86.66666666666667
Stadsrand|Stadsbrand|90.0
Landinrichting|Landrichting|85.71428571428572
Kroniek|kroniek|85.71428571428572
mandenmakerij|mandenmakerijen|86.66666666666667
Terrazzo|Verrazzo|87.5
thermen|termen|85.71428571428572
thermen|hermen|85.71428571428572
Monumentenwacht|Monumentenrecht|86.66666666666667
Hoogheemraadschap|Hoogheemraadschappen|85.0
klokkestoel|klokkenstoel|91.66666666666666
Bouwtechniek|Bouwtechnieken|85.71428571428572
Stedebouwkundige|Stedebouwkunde|87.5
landschapsarchitecten|landschapsarchitectuur|86.36363636363636
landschapsarchitecten|Landschapsarchitect|85.71428571428572
binnenhuisarchitecten|binnenhuisarchitectuur|86.36363636363636
Gewapend beton|Bewapend beton|92.85714285714286
sociale geschiedenis|Lokale geschiedenis|85.0
landschapsbeheer|Landschapbeheer|87.5
Vaderlandse Geschiedenis|Vaderlandsche Geschiedenis|92.3076923076923
Kartografie|cartografie|90.9090909090909
Monumentenjaar|Monumentenraad|85.71428571428572
ministerie|ministeries|90.9090909090909
Interieur|Interieurs|90.0
Subsidie|Subsidies|88.88888888888889
Bouwconstructie|Houtconstructie|86.66666666666667
Bouwconstructie|Brugconstructie|86.66666666666667
Bouwconstructie|Boogconstructie|86.66666666666667
Bouwconstructie|Bouwinstructie|86.66666666666667
Bouwconstructie|bouwconstructies|87.5
begraafplaats|begraafplaatsen|86.66666666666667
Landhuizen|landhuizen|90.0
Steenhouwer|Steenhouwers|91.66666666666666
Volksgebruik|Volksgebruiken|85.71428571428572
Kerkelijke kunst|Kerkelĳke kunst|87.5
cottage|cottages|87.5
Schuren|Scheuren|87.5
Schuren|schuren|85.71428571428572
landschapsarchitectuur|landschapsarchitecten|86.36363636363636
Groenvoorziening|Groenvoorzieningen|88.88888888888889
oranjerie|orangerie|88.88888888888889
grafmonument|grafmonumenten|85.71428571428572
Kadaster|Kadasters|88.88888888888889
Milieueffectrapportage|Milieueffectrapportages|95.65217391304348
Carillon|Carillons|88.88888888888889
stolpboerderij|stolpboerderijen|87.5
kabinetorgel|kabinet-orgel|92.3076923076923
Kerkorgels|Kerkorgel|90.0
Landschapsparken|Landschapspark|87.5
Landschapsstijl|landschapsstijl|93.33333333333333
Overstroming|Overstromingen|85.71428571428572
pakhuis|Bakhuis|85.71428571428572
pakhuis|Dakhuis|85.71428571428572
Gevelteken|Geveltekens|90.9090909090909
Havezate|Havezathe|88.88888888888889
kantoorgebouw|kantoorgebouwen|86.66666666666667
Romaanse bouwkunst|Romeinse bouwkunst|88.88888888888889
coupure|coupuren|87.5
metrostation|metrostations|92.3076923076923
Wereldtentoonstelling|wereldtentoonstellingen|86.95652173913044
Tentoonstelling|Tentoonstellingen|88.23529411764706
Amsterdamse School|Amsterdamse school|94.44444444444444
Verwering|Verering|88.88888888888889
Verwering|Verwerking|90.0
bierbrouwerij|bierbrouwerijen|86.66666666666667
restaurant|restaurants|90.9090909090909
Bakhuis|pakhuis|85.71428571428572
Bakhuis|Dakhuis|85.71428571428572
Dakconstructie|Dakconstructies|93.33333333333333
Dakconstructie|Balkconstructie|86.66666666666667
Dakconstructie|Kapconstructie|85.71428571428572
maaswerk|maalwerk|87.5
boterfabriek|boterfabrieken|85.71428571428572
verdedigingswerk|verdedigingswerken|88.88888888888889
Glasbouw|Vlasbouw|87.5
grafkelder|grafkelders|90.9090909090909
datering|Catering|87.5
pottenbakkerij|pottenbakkerijen|87.5
Postmodernisme|postmodernisme|92.85714285714286
Draagconstructie|Draaiconstructie|93.75
Houtconstructie|Bouwconstructie|86.66666666666667
Houtconstructie|Houtconstructies|93.75
