thesau_%0,term,term.soort,term.status,use_count,narrower_term,broader_term,related_term,equivalent_term,invoer.naam,invoer.bron,invoer.datum,RNA_identifier,bijzonderheden,wijziging.naam,wijziging.datum,wijziging.bron,dubbel
4,spoorlijn,onderwerp#geografisch trefwoord,descriptor,156,"","","","",Conversie AIS,"",2000-06-20,http://data.cultureelerfgoed.nl/semnet/cb283ccd-cdd1-41f3-8e4f-a938ddca1bee#https://data.cultureelerfgoed.nl/term/id/cht/cb283ccd-cdd1-41f3-8e4f-a938ddca1bee,"",RCEAdmin#RCEAdmin#natascha,2018-02-16#2012-08-24#2004-01-15,thesau#thesau#catalo>photographs,FALSE
5,architectuurbeleid,onderwerp,descriptor,43,"",beleid,"","",Conversie AIS,"",2000-06-20,"","",rcekarina,2023-08-24,thesau>thesau,FALSE
6,gemeentelijke monumentenzorg,onderwerp,descriptor,199,"",monumentenzorg,"","",marjorie,thesau,2000-05-04,"","",rcekarina#rcekarina#vaart,2023-08-24#2023-08-24#2002-12-03,thesau>thesau#thesau>thesau#thesau,FALSE
10,provinciale monumentenzorg,onderwerp,descriptor,53,"",monumentenzorg,"","",Conversie AIS,"",2000-06-20,"","",rcekarina#rcejulian#VAART,2023-08-24#2023-06-26#2004-04-13,thesau>thesau#thesau>thesau#thesau,FALSE
12,cultuurbeleid,onderwerp,descriptor,324,"",beleid,"","",Conversie AIS,"",2000-06-20,"","",rcekarina#rceroland#RCEAdmin#rceadmin#RCEAdmin#RCEAdmin#RCEAdmin#RCEAdmin,2023-08-24#2019-07-30#2014-01-27#2013-02-11#2013-02-08#2013-02-08#2013-02-08#2013-02-08,thesau>thesau#document>book#thesau#thesau#thesau#thesau#thesau#thesau,FALSE
17,beleid,uitleencategorie#materiaalsoort#onderwerp#klas / afdeling,descriptor,563,architectuurbeleid#cultuurbeleid#museumbeleid,"","","",Conversie AIS,"",2000-06-20,http://data.cultureelerfgoed.nl/semnet/20ee0f42-6390-4d87-9442-131fc94ce14b#https://data.cultureelerfgoed.nl/term/id/cht/20ee0f42-6390-4d87-9442-131fc94ce14b,"",rcekarina#rcekarina#rcekarina#rcekarina#RCEAdmin#rceirene,2023-08-24#2023-08-24#2023-08-24#2023-08-24#2018-02-15#2013-05-16,thesau>thesau#thesau>thesau#thesau>thesau#thesau>thesau##borrower,FALSE
19,stadsvernieuwing,onderwerp,descriptor,746,"",Stedebouw,"","",Conversie AIS,"",2000-06-20,https://data.cultureelerfgoed.nl/term/id/cht/576307ac-77ad-4dd2-9138-21da67376e42,"",rcejulian#rcejulian#RCEAdmin#marjorie,2023-06-18#2023-04-12#2014-01-27#2002-02-18,thesau>thesau#thesau>thesau#thesau#thesau,FALSE
20,Dorpsvernieuwing,onderwerp#geografisch trefwoord,descriptor,27,"","","","",Conversie AIS,"",2000-06-20,"","",RCEAdmin,2012-08-24,thesau,FALSE
22,Cultuurhistorisch toerisme,onderwerp,descriptor,89,"","","","",karina,thesau,2000-03-20,"","","","","",FALSE
25,provinciehuis,onderwerp#geografisch trefwoord,descriptor,151,"","","","",Conversie AIS,"",2000-06-20,http://data.cultureelerfgoed.nl/semnet/ecb6083d-7d28-4bd8-ac4e-43ecc6f216b3#https://data.cultureelerfgoed.nl/term/id/cht/ecb6083d-7d28-4bd8-ac4e-43ecc6f216b3,"",RCEAdmin#RCEAdmin#RCEAdmin,2018-02-16#2014-01-27#2012-08-24,thesau#thesau#thesau,FALSE
26,provincie,onderwerp#plaats,descriptor,14,"","","","",Conversie AIS,"",2000-06-20,"","",RCEAdmin#RCEAdmin#rceadmin#RCEAdmin,2018-02-15#2014-01-27#2013-02-11#2013-02-08,#thesau#thesau#document>book,FALSE
27,demografie,onderwerp,descriptor,199,"","","","",Conversie AIS,"",2000-06-20,"","",rceroland#RCEAdmin,2019-08-08#2014-01-27,document>book#thesau,FALSE
28,bevolking,onderwerp,descriptor,67,"","","","",Conversie AIS,"",2000-06-20,"","",rcekarina#RCEAdmin,2023-08-24#2014-01-27,thesau>thesau#thesau,FALSE
29,Woningbouw,onderwerp,descriptor,607,"","","","",Conversie AIS,"",2000-06-20,http://data.cultureelerfgoed.nl/semnet/a5923c96-630c-4f08-bd15-41fcd401f00f#https://data.cultureelerfgoed.nl/term/id/cht/a5923c96-630c-4f08-bd15-41fcd401f00f,"",RCEAdmin#RCEAdmin#VAART,2018-02-15#2012-08-24#2003-11-20,#thesau#thesau,FALSE
30,VINEX,onderwerp,descriptor,41,"","","","",Conversie AIS,"",2000-06-20,"","","","","",FALSE
31,Verstedelijking,onderwerp,descriptor,87,"","","","",Conversie AIS,"",2000-06-20,"","",RCEAdmin#karina,2014-01-27#2001-01-29,thesau#thesau,FALSE
32,dijk,onderwerp#plaats,descriptor,535,"","","","",Conversie AIS,"",2000-06-20,http://data.cultureelerfgoed.nl/semnet/c615eaa4-85a7-4f2b-9a96-02aa766e8331#https://data.cultureelerfgoed.nl/term/id/cht/c615eaa4-85a7-4f2b-9a96-02aa766e8331,"",RCEAdmin#rceadmin#RCEAdmin,2018-02-15#2014-10-14#2014-01-27,#thesau#thesau,FALSE
34,Deltaplan (waterwerken),onderwerp,descriptor,31,"","","","",Conversie AIS,"",2000-06-20,"","",rcekarina,2023-08-24,thesau>thesau,FALSE
37,Water,onderwerp#trefwoord#ingredient,descriptor,174,"","","","",Conversie AIS,"",2000-06-20,http://data.cultureelerfgoed.nl/semnet/0c41c9b8-fb66-48af-b44a-46dd24503c6c#https://data.cultureelerfgoed.nl/term/id/cht/0c41c9b8-fb66-48af-b44a-46dd24503c6c,"",RCEAdmin#rceadmin,2018-02-15#2013-02-11,#thesau,FALSE
41,IJmeer,geografisch trefwoord#plaats#onderwerp,descriptor,11,"","","","",Conversie AIS,"",2000-06-20,"","","","","",FALSE
43,natuurbehoud,onderwerp,descriptor,41,"","","","",Conversie AIS,"",2000-06-20,http://data.cultureelerfgoed.nl/semnet/ba2714d6-4164-4c81-85ec-fc4ec4ebcf2c#https://data.cultureelerfgoed.nl/term/id/cht/ba2714d6-4164-4c81-85ec-fc4ec4ebcf2c,"",rceroland#RCEAdmin,2019-07-16#2018-02-15,document>book#,FALSE
44,Stadsontwikkeling,onderwerp,descriptor,421,"",Stedebouw,"","",Conversie AIS,"",2000-06-20,https://data.cultureelerfgoed.nl/term/id/cht/bf2e3545-de01-49cb-9569-d700c7b7d5f0,"",rcejulian#rcejulian#rcejulian#RCEAdmin,2023-06-18#2023-06-18#2023-06-18#2014-01-27,thesau>thesau#thesau>thesau#thesau>thesau#thesau,FALSE
45,Vleermuis,onderwerp,descriptor,32,"","","","",Conversie AIS,"",2000-06-20,"","","","","",FALSE
47,Landgoed,onderwerp#objectnaam#geografisch trefwoord,descriptor,1368,"","","","",Conversie AIS,"",2000-06-20,http://data.cultureelerfgoed.nl/semnet/037eecda-b44f-42f8-b778-6beb63bfd684#https://data.cultureelerfgoed.nl/term/id/cht/037eecda-b44f-42f8-b778-6beb63bfd684,"",RCEAdmin#RCEAdmin#patrick,2018-02-15#2012-08-24#2010-07-08,#thesau#document>rapporten,FALSE
50,Vliegveld,onderwerp#geografisch trefwoord,descriptor,140,"","","","",Conversie AIS,"",2000-06-20,http://data.cultureelerfgoed.nl/semnet/d72e4546-d77b-4828-a060-78a0bf2c6852#https://data.cultureelerfgoed.nl/term/id/cht/d72e4546-d77b-4828-a060-78a0bf2c6852,"",RCEAdmin#RCEAdmin#SJOOD,2018-02-15#2012-08-24#2009-11-17,#thesau#document>rapporten,FALSE
53,Ruimtelijke kwaliteit,onderwerp,descriptor,47,"","","","",Conversie AIS,"",2000-06-20,"","",karina,2000-12-04,thesau,FALSE
54,Ruimtelijke planning,onderwerp,non-descriptor,1,"","","","",Conversie AIS,"",2000-06-20,https://data.cultureelerfgoed.nl/term/id/cht/b05a237f-b6a9-4aff-9db3-d88580409575,"",rcejulian#rcejulian#karina,2023-07-20#2023-07-20#2000-12-04,thesau>thesau#thesau>thesau#thesau,FALSE
56,Welstandszorg,onderwerp,descriptor,26,"","","","",Conversie AIS,"",2000-06-20,"","","","","",FALSE
58,Archief,uitleencategorie#onderwerp,descriptor,665,"","","","",karina,thesau,2000-03-02,"","",rcekarina#RCEmarco#RCEAdmin#JANNY,2019-05-24#2018-07-24#2012-08-24#2003-03-10,thesau#COLLECT>archivecatalogue#thesau#catalo>photographs,FALSE
59,cultureel erfgoed,onderwerp,descriptor,527,"","","","",karina,thesau,2000-03-20,http://data.cultureelerfgoed.nl/semnet/ecdc5464-f065-4901-936d-077f39c18b79#https://data.cultureelerfgoed.nl/term/id/cht/ecdc5464-f065-4901-936d-077f39c18b79,"",rcekarina#RCEAdmin,2023-08-24#2018-02-15,thesau>thesau#,FALSE
60,Verkeer,onderwerp,descriptor,93,"","","","",Conversie AIS,"",2000-06-20,"","",RCEAdmin#karina,2014-01-27#2001-02-01,thesau#thesau,FALSE
61,weg,onderwerp,descriptor,169,"","","","",Conversie AIS,"",2000-06-20,http://data.cultureelerfgoed.nl/semnet/1e309e1c-16cd-4b46-8cc6-1e5888853e49#https://data.cultureelerfgoed.nl/term/id/cht/1e309e1c-16cd-4b46-8cc6-1e5888853e49,"",RCEAdmin#rceadmin#RCEAdmin#marjorie,2018-02-15#2014-10-14#2014-01-27#2002-03-15,#thesau#thesau#thesau,FALSE
63,Welstandstoezicht,onderwerp,descriptor,59,"","","","",Conversie AIS,"",2000-06-20,http://data.cultureelerfgoed.nl/semnet/5e037815-0330-4ac8-b2ea-efd5a6cba26e#https://data.cultureelerfgoed.nl/term/id/cht/5e037815-0330-4ac8-b2ea-efd5a6cba26e,"",RCEAdmin,2018-02-15,"",FALSE
64,industriële archeologie,onderwerp,non-descriptor,1,"","","","",karina,thesau,2000-05-30,http://data.cultureelerfgoed.nl/semnet/1f643f62-13a2-4ea9-a922-f3207fd404b9#https://data.cultureelerfgoed.nl/term/id/cht/1f643f62-13a2-4ea9-a922-f3207fd404b9,"",rcekarina#rcekarina#RCEAdmin,2023-08-24#2023-08-24#2018-02-15,thesau>thesau#thesau>thesau#,FALSE
65,Archeologiebeleid,onderwerp,descriptor,38,"","","","",Conversie AIS,"",2000-06-20,"","","","","",FALSE
68,Landelijk gebied,onderwerp#geografisch trefwoord,descriptor,62,"","","","",Conversie AIS,"",2000-06-20,http://data.cultureelerfgoed.nl/semnet/e93a2e2e-ba4d-4dd9-8d5a-12027f90737b#https://data.cultureelerfgoed.nl/term/id/cht/e93a2e2e-ba4d-4dd9-8d5a-12027f90737b,"",RCEAdmin,2018-02-15,"",FALSE
69,landbouw,onderwerp,descriptor,1255,"","","","",Conversie AIS,"",2000-06-20,"","",rcekarina#rceroland#RCEAdmin#rceadmin#RCEAdmin,2023-08-24#2019-08-05#2014-02-24#2013-02-11#2012-02-06,thesau>thesau#document>book#thesau#thesau#thesau,FALSE
70,vervoer,onderwerp,descriptor,41,"","","","",Conversie AIS,"",2000-06-20,"","",rcekarina#RCEAdmin,2023-08-24#2014-01-27,thesau>thesau#thesau,FALSE
71,infrastructuur,onderwerp,descriptor,630,"","",handelsroutes#waterwegen,"",Conversie AIS,"",2000-06-20,"","",rcekarina#RCEAdmin#rceadmin,2023-08-24#2014-01-27#2013-02-11,thesau>thesau#thesau#thesau,FALSE
73,Platteland,onderwerp,descriptor,91,"","","","",Conversie AIS,"",2000-06-20,"","",RCEAdmin#marjorie,2014-01-27#2001-09-12,thesau#thesau,FALSE
74,kunstgeschiedenis,onderwerp,descriptor,118,"","","","",Conversie AIS,"",2000-06-20,http://data.cultureelerfgoed.nl/semnet/40a299e7-be69-43b5-8ea0-e8555fefb486#https://data.cultureelerfgoed.nl/term/id/cht/40a299e7-be69-43b5-8ea0-e8555fefb486,"",rcekarina#RCEAdmin,2023-08-24#2018-02-15,thesau>thesau#,FALSE
76,Ruimtelijke inrichting,onderwerp,descriptor,148,"","","","",Conversie AIS,"",2000-06-20,"","",RCEAdmin#karina,2014-01-27#2000-12-04,thesau#thesau,FALSE
77,Ruimtelijk beleid,onderwerp,descriptor,52,"",ruimtelijke ordening,"","",Conversie AIS,"",2000-06-20,"","",rcejulian#marjorie,2023-07-20#2001-10-30,thesau>thesau#thesau,FALSE
