Term in CSV,Other Term in CSV,Similarity Score
Nieuwbouw,Natuurbouw,0.8333384091932631
Romaanse bouwkunst,Landelijke bouwkunst,0.8131612414564238
Romaanse bouwkunst,Islamitische bouwkunst,0.9082627831034868
Romaanse bouwkunst,Javaanse bouwkunst,0.8046103718303685
Romaanse bouwkunst,Victoriaanse bouwkunst,0.8602995501812262
Romaanse bouwkunst,Romeinse bouwkunst,0.8801182456415936
Romaanse bouwkunst,Byzantijnse bouwkunst,0.8151439050885816
Romaanse bouwkunst,Latijnse bouwkunst,0.8007956020427024
Romaanse bouwkunst,Griekse bouwkunst,0.8186413630913147
Ecologisch bouwen,Ondergronds bouwen,0.8208210920885123
Betonbouw,Bebouwing,0.8321409961964504
Betonbouw,Boerderijbouw,0.8201347416270602
Antroposofische bouwkunst,Javaanse bouwkunst,0.8179188991686159
Antroposofische bouwkunst,Romeinse bouwkunst,0.8004179298487364
Antroposofische bouwkunst,Neoromaanse bouwkunst,0.8340926758425897
Antroposofische bouwkunst,Latijnse bouwkunst,0.8304300599085799
Antroposofische bouwkunst,Griekse bouwkunst,0.8025151313686981
Antroposofische bouwkunst,Egyptische bouwkunst,0.9007923267887418
Antroposofische bouwkunst,Naoorlogse bouwkunst,0.8195481504925104
Antroposofische bouwkunst,religieuze bouwkunst,0.8022628229360104
Organische bouwstijl,Karolingische bouwstijl,0.887529290656789
Organische bouwstijl,Ottoonse bouwstijl,0.923890491199422
Gebouwenregistratie,Gebouwentypologie,0.8588374478202611
Landelijke bouwkunst,Romaanse bouwkunst,0.8131612414564238
Landelijke bouwkunst,Kerkelijke bouwkunst,0.8128812472221807
Landelijke bouwkunst,Islamitische bouwkunst,0.8411058186463268
Landelijke bouwkunst,Moderne bouwkunst,0.8456207205395828
Landelijke bouwkunst,Latijnse bouwkunst,0.8236137046343636
Staalbouw,Stedebouw,0.8242129501322347
Archiefgebouw,Aanbouw,0.8025589905099144
Departementsgebouw,Dakopbouw,0.802638497269805
Vakwerkbouw,Bosgebouw,0.8029984582953601
Klassieke bouwkunst,Kerkelijke bouwkunst,0.8830842826826384
waaggebouwen,wetenschapsgebouwen,0.8311099102858184
Kerkelijke bouwkunst,Landelijke bouwkunst,0.8128812472221807
Kerkelijke bouwkunst,Klassieke bouwkunst,0.8830842826826384
Kerkelijke bouwkunst,Militaire bouwkunst,0.8260797488855721
Kerkelijke bouwkunst,Moderne bouwkunst,0.871314007368953
Stedebouw,Staalbouw,0.8242129501322347
