Term in CSV,Other Term in CSV,Similarity Score
Stedebouwkundige,Stedebouwkunde,93
kantoorgebouw,kantoorgebouwen,93
kantoorgebouw,kantoorgebouwen,93
Romaanse bouwkunst,Romeinse bouwkunst,89
Romaanse bouwkunst,Neoromaanse bouwkunst,87
Glasbouw,Vlasbouw,88
Poortgebouw,Postgebouw,86
Gerechtsgebouw,gerechtsgebouwen,87
bankgebouw,bankgebouwen,91
bankgebouw,bankgebouwen,91
flatgebouw,flatgebouwen,91
Tuinbouw,Tuingebouw,89
Mijnbouw,Mijngebouw,89
Mijnbouw,Wijnbouw,88
parlementsgebouw,Departementsgebouw,88
parlementsgebouw,parlementsgebouwen,94
Departementsgebouw,parlementsgebouw,88
wachtgebouw,wachtgebouwen,92
verenigingsgebouw,verenigingsgebouwen,94
verenigingsgebouw,vakverenigingsgebouwen,87
sportgebouw,sportgebouwen,92
Mijngebouw,Mijnbouw,89
Waterbouwkunde,Waterbouwkundige,93
bestuursgebouw,bestuursgebouwen,93
Stedebouw,Steenbouw,89
Stedebouw,Stedenbouw,95
Verbouwing,Verbouwingen,91
filtergebouw,Snelfiltergebouw,86
filtergebouw,filtergebouwen,92
administratiegebouw,administratiegebouwen,95
Spoorweggebouw,spoorweggebouwen,87
bouwoffer,bouwoffers,95
Bebouwing,Bebouwingen,90
Gouvernementsgebouw,gouvernementsgebouwen,90
Gietbouw,Gebouw,86
nutsgebouw,nutsgebouwen,91
Kerkenbouw,Kerkbouw,89
Gebouwde omgeving,gebouwde omgeving,94
admiraliteitsgebouw,admiraliteitsgebouwen,95
muntgebouw,muntgebouwen,91
bedrijfsgebouw,bedrijfsgebouwen,93
Fabrieksbouw,Fabrieksgebouw,92
tentoonstellingsgebouw,tentoonstellingsgebouwen,96
Militaire bouwkunst,Utilitaire bouwkunst,92
Kerkbouw,Kerkenbouw,89
Gebouw,Gietbouw,86
handelsgebouw,handelsgebouwen,93
Bosbouw,Bosgebouw,88
Stedebouwkunst,Stedebouwkunde,86
Kloosterbouw,Kloostergebouwen,86
Tuingebouw,Tuinbouw,89
Tuingebouw,Turngebouw,90
Landbouwwerktuig,Landbouwwerktuigen,94
Landbouwwerktuig,Landbouwvoertuig,88
toiletgebouw,toiletgebouwen,92
Stedebouwkunde,Stedebouwkundige,93
Stedebouwkunde,Stedebouwkunst,86
Vlasbouw,Glasbouw,88
Openbaar gebouw,Openbare gebouwen,88
operagebouw,operagebouwen,92
Snelfiltergebouw,filtergebouw,86
Waterbouwkundige,Waterbouwkunde,93
Waterbouwkundige,Waterbouwkunde,93
legeringsgebouw,regeringsgebouwen,88
legeringsgebouw,legeringsgebouwen,94
Fabrieksgebouw,Fabrieksbouw,92
Fabrieksgebouw,fabrieksgebouwen,87
Utiliteitsbouw,Utiliteitsgebouwen,88
Turngebouw,Tuingebouw,90
Romeinse bouwkunst,Romaanse bouwkunst,89
Douanegebouw,Duanegebouw,96
patronaatsgebouw,patronaatsgebouwen,94
Neoromaanse bouwkunst,Romaanse bouwkunst,87
Industriebouw,Industriegebouw,93
Industriebouw,Industriegebouwen,87
Bosgebouw,Bosbouw,88
Industriegebouw,Industriebouw,93
Industriegebouw,Industriegebouwen,94
Openbare gebouwen,Openbaar gebouw,88
bijgebouw,bijgebouwen,90
bijgebouw,bijgebouwen,90
machinegebouw,machinegebouwen,93
Byzantijnse bouwkunst,Latijnse bouwkunst,87
Postgebouw,Poortgebouw,86
schoolgebouw,schoolgebouwen,92
bijgebouwen,bijgebouw,90
bouwoffers,bouwoffer,95
Gebouwonderdelen,bouwonderdelen,93
Industriegebouwen,Industriebouw,87
Industriegebouwen,Industriegebouw,94
Landbouwwerktuigen,Landbouwwerktuig,94
Steenbouw,Stedebouw,89
Steenbouw,Stedenbouw,95
Wijnbouw,Mijnbouw,88
Stedenbouw,Stedebouw,95
Stedenbouw,Steenbouw,95
Utilitaire bouwkunst,Militaire bouwkunst,92
Verbouwingen,Verbouwing,91
Verbouwingen,Bebouwingen,87
Bebouwingen,Bebouwing,90
Bebouwingen,Verbouwingen,87
Kloostergebouwen,Kloosterbouw,86
kantoorgebouwen,kantoorgebouw,93
kantoorgebouwen,kantorengebouwen,90
Duanegebouw,Douanegebouw,96
Latijnse bouwkunst,Byzantijnse bouwkunst,87
Uitbouw,uitbouw,86
Waterbouwkunde,Waterbouwkundige,93
veilinggebouw,veilinggebouwen,93
Landbouwvoertuig,Landbouwwerktuig,88
Landbouwvoertuig,landbouwvoertuigen,88
Overheidsgebouwen,nijverheidsgebouwen,89
Overheidsgebouwen,overheidsgebouwen,94
fabrieksgebouwen,Fabrieksgebouw,87
bedrijfsgebouwen,bedrijfsgebouw,93
beursgebouwen,bestuursgebouwen,90
bankgebouwen,bankgebouw,91
gebouwde omgeving,Gebouwde omgeving,94
uitbouw,Uitbouw,86
uitbouw,uitbouwen,88
uitbouwen,uitbouw,88
bijgebouwen,bijgebouw,90
fokkerijgebouwen,kwekerijgebouwen,88
kwekerijgebouwen,fokkerijgebouwen,88
bestuursgebouwen,bestuursgebouw,93
bestuursgebouwen,beursgebouwen,90
bestuursgebouwen,landsbestuursgebouwen,86
bestuursgebouwen,beursgebouwen,90
admiraliteitsgebouwen,admiraliteitsgebouw,95
landsbestuursgebouwen,bestuursgebouwen,86
parlementsgebouwen,parlementsgebouw,94
regeringsgebouwen,legeringsgebouw,88
regeringsgebouwen,legeringsgebouwen,94
operagebouwen,operagebouw,92
tentoonstellingsgebouwen,tentoonstellingsgebouw,96
