term,use_count,N,potential_matched_concept
windmolens,12709,1,TRUE
Restauratie,9767,1,TRUE
korenmolens,8319,1,TRUE
schuren,7487,1,TRUE
molens,7295,1,TRUE
buitenplaatsen,5436,1,TRUE
Houtconstructie,5155,1,TRUE
archeologie,5042,1,TRUE
stellingmolens,4302,1,FALSE
orgels,4222,1,TRUE
Kloosters,4166,1,TRUE
poldermolens,4021,1,TRUE
grondzeilers,3366,1,TRUE
Interieurs,3169,1,TRUE
bewoning,2943,1,TRUE
arbeiderswoning,2873,1,TRUE
Landschappen,2838,1,TRUE
boerenerven,2791,1,FALSE
neolithicum,2734,1,TRUE
Late middeleeuwen,2539,1,TRUE
herbestemming,2508,1,FALSE
monumentenzorg,2443,1,FALSE
Kerktoren,2402,1,FALSE
19e eeuw,2400,1,TRUE
bronstijd,2327,1,TRUE
Bouwhistorisch onderzoek,2289,1,TRUE
Dorpsgezicht,2289,1,TRUE
vroege middeleeuwen,2236,1,TRUE
School,2185,1,FALSE
verval,2160,1,FALSE
kapellen,2141,1,FALSE
begraafplaatsen,2121,1,TRUE
prehistorie,2120,1,FALSE
Balklaagbeschildering,2048,1,FALSE
toren,2037,1,TRUE
IJzertijd,2019,1,FALSE
landhuizen,2017,1,TRUE
Conservering,1982,1,FALSE
villa's,1945,1,FALSE
Behangsels,1944,1,FALSE
bruggen,1883,1,FALSE
Kerkorgels,1868,1,TRUE
Kleuronderzoek,1852,1,FALSE
20e eeuw,1846,1,TRUE
Begraving,1826,1,TRUE
Fabriek,1802,1,FALSE
aardewerk,1790,1,TRUE
historische geografie,1740,1,FALSE
geologie,1646,1,FALSE
Vestingwerken,1642,1,TRUE
watermolens,1594,1,TRUE
"biografie, biografische woordenboeken: overige",1506,1,TRUE
parken,1444,1,FALSE
kunst,1425,1,FALSE
Rundveestalinterieur,1419,1,FALSE
Onderzoek van schilderijen,1418,1,FALSE
Ceramiek,1416,1,TRUE
18e eeuw,1414,1,TRUE
17e eeuw,1407,1,TRUE
stadsarcheologie,1399,1,FALSE
wasschijven,1391,1,TRUE
bakhuizen,1313,1,TRUE
Woninginterieur,1307,1,FALSE
Technologie,1296,1,FALSE
bouwkunde,1292,1,FALSE
landbouw,1255,1,FALSE
paleis,1250,1,FALSE
pastorie,1244,1,TRUE
Nieuwe Tijd Laat,1238,1,FALSE
poort,1227,1,FALSE
Woning,1218,1,FALSE
bovendeurstuk,1209,1,FALSE
natuursteen,1193,1,FALSE
Plafonds,1184,1,TRUE
Schoorsteenstuk,1177,1,FALSE
Verwarming,1145,1,FALSE
hout,1143,1,FALSE
schouwen (scheepstype),1141,1,FALSE
stations,1138,1,TRUE
trappen,1131,1,TRUE
Religie,1125,1,FALSE
Koloniale geschiedenis,1114,1,TRUE
beeld,1113,1,FALSE
Kapconstructies,1099,1,TRUE
bouwkunst,1093,1,FALSE
ruïne,1088,1,FALSE
stadsgeschiedenis,1071,1,TRUE
geografie,1063,1,TRUE
materialen,1059,1,TRUE
Steden,1052,1,FALSE
industrieel erfgoed,1042,1,FALSE
niet opgehoogde nederzetting zonder stedelijk karakter,954,1,TRUE
Ingangspartij,951,1,FALSE
herenhuis,934,1,FALSE
abdijen,928,1,FALSE
paleolithicum,921,1,TRUE
wipmolen,911,1,TRUE
Bronstijd,908,1,TRUE
glas,903,1,FALSE
Conservering. Behoud en bescherming,882,1,FALSE
Neolithicum,850,1,TRUE
Nieuwe Tijd Midden,830,1,FALSE
preekstoelen,822,1,TRUE
Schilderijen,813,1,TRUE
schade,811,1,FALSE
Stedebouw,805,1,TRUE
Trappenhuis,796,1,FALSE
verdedigingswerk,794,1,TRUE
late middeleeuwen B,788,1,TRUE
schoorsteen,783,1,TRUE
bewoning (inclusief verdediging),782,1,FALSE
Stadsgezicht,781,1,TRUE
grafperken,758,1,TRUE
nederzetting met stedelijk karakter,757,1,FALSE
Vroege Middeleeuwen,753,1,TRUE
Dodenbestel,748,1,FALSE
stadsvernieuwing,746,1,FALSE
waardestelling,743,1,FALSE
palynologie,737,1,TRUE
monumenten,735,1,FALSE
munt,728,1,FALSE
Archeologische praktijk,726,1,FALSE
Persoon,725,1,FALSE
grafmonument,722,1,TRUE
planologie,721,1,TRUE
pakhuis,720,1,TRUE
Dak,715,1,FALSE
Sloop,700,1,FALSE
vuursteen,691,1,FALSE
16e eeuw,683,1,TRUE
gebouwen,681,1,FALSE
Nieuwe Tijd Vroeg,681,1,FALSE
Kulturen,678,1,TRUE
Straatbeeld,667,1,FALSE
Rieten dak,664,1,FALSE
Beeldhouwkunst,663,1,TRUE
architectuur,661,1,TRUE
Keuken,655,1,TRUE
Pigmenten en verfstoffen in verf. Kleurstoffen,644,1,FALSE
trapgevels,634,1,TRUE
landschapsontwikkeling,631,1,FALSE
infrastructuur,630,1,FALSE
mesolithicum,629,1,TRUE
monumentenbescherming,618,1,FALSE
datering,614,1,TRUE
ziekenhuis,609,1,FALSE
Katholieke kerk,608,1,FALSE
Woningbouw,607,1,FALSE
Grafgiften,607,1,FALSE
hofjes,607,1,TRUE
Schilderkunst,596,1,TRUE
kantoorgebouw,595,1,TRUE
Numismatiek,589,1,FALSE
economie,581,1,FALSE
fundering,579,1,TRUE
"restaureren, conserveren, vervalsen",572,1,FALSE
greppels,571,1,TRUE
Anorganisch materiaal,559,1,TRUE
baksteen,556,1,TRUE
Verf- en schildersambachten. Afwerking in kleur,554,1,FALSE
monografieën,553,1,FALSE
Stratigrafie,547,1,FALSE
Rundveestal,546,1,FALSE
brons,541,1,FALSE
Oorlogsschade,540,1,FALSE
Werktuigen,540,1,FALSE
milieu,531,1,FALSE
cultureel erfgoed,527,1,FALSE
molenrestant,523,1,TRUE
neogotiek,523,1,FALSE
technieken en materialen (schilderkunst),521,1,TRUE
molenromp,516,1,TRUE
Congressen. Symposia. Conferenties. Bijeenkomsten,513,1,FALSE
gereedschappen (algemeen),507,1,FALSE
neorenaissance,505,1,TRUE
Militair terrein,503,1,TRUE
monumenteninventarisatie,502,1,FALSE
