term.soort,N
geografisch trefwoord,47136
onderwerp,28193
plaats,11483
classificatie,4085
objectnaam,3968
geografisch trefwoord#plaats,2871
geografisch trefwoord#plaats#onderwerp,1234
geografisch trefwoord#onderwerp,905
gemeente,618
plaats#geografisch trefwoord,598
techniek,455
geografisch trefwoord#plaats#gemeente#onderwerp,436
rol,382
onderwerp#objectnaam,378
trefwoord,351
materiaal,318
objectcategorie,295
onderwerp#geografisch trefwoord,241
geografisch trefwoord#gemeente#plaats#onderwerp,191
"",186
plaats#geografisch trefwoord#onderwerp,161
materiaalsoort,132
objectnaam#onderwerp,131
geografisch trefwoord#plaats#gemeente,113
geografisch trefwoord#gemeente#plaats,103
land,94
trefwoord#ingredient,89
gebruik,80
geografisch trefwoord#land,75
klas / afdeling,67
classificatie#UDC,63
geografisch trefwoord#gemeente,55
collectie,53
onderwerp#materiaalsoort,51
taal,49
plaats#onderwerp,48
onderwerp#onderzoek/gebruik methode,43
onderwerp#materiaal,40
materiaalsoort#onderwerp,38
geografisch trefwoord#onderwerp#plaats,37
onderwerp#materiaal#objectnaam,35
onderwerp#plaats,34
geografisch trefwoord#gemeente#onderwerp,33
objectnaam#materiaal,28
onderzoek/gebruik methode,28
classificatie#RACM-1,25
materiaal#objectnaam,24
geografisch trefwoord#objectnaam,22
onderwerp#objectnaam#materiaal,22
plaats#gemeente,22
plaats#onderwerp#geografisch trefwoord,20
gemeente#geografisch trefwoord#onderwerp,18
gemeente#geografisch trefwoord,18
objectnaam#geografisch trefwoord,17
inscriptie positie,17
ingredient,16
archief event,16
plaats#geografisch trefwoord#gemeente,15
provincie,15
periode,15
geografisch trefwoord#land#plaats,14
motief,14
geografisch trefwoord#gemeente#onderwerp#plaats,13
onderwerp#rol,13
onderwerp#geografisch trefwoord#plaats,12
onderwerp#objectnaam#geografisch trefwoord,10
geografisch trefwoord#onderwerp#objectnaam,10
onderwerp#klas / afdeling,10
onderwerp#techniek,10
materiaal#onderwerp,10
gemeente#geografisch trefwoord#plaats#onderwerp,9
passage,9
geografisch trefwoord#provincie,8
provincie#geografisch trefwoord,8
onderwerp#soort opschrift,8
land#geografisch trefwoord,8
objectnaam#materiaal#onderwerp,8
doelgroep,8
techniek#trefwoord,8
trefwoord#onderwerp,8
beroep,8
onderwerp#collectie,7
techniek#onderwerp,7
gemeente#geografisch trefwoord#plaats,7
uitleencategorie,7
materiaalsoort#onderwerp#bibliografische vorm,7
onderwerp#eigennaam,6
uitleencategorie#materiaalsoort#onderwerp,6
geografisch trefwoord#plaats#onderwerp#gemeente,6
onderwerp#trefwoord,6
gemeente#plaats#geografisch trefwoord,6
gemeente#plaats,6
materiaal#objectnaam#onderwerp,6
taal#onderwerp,6
afmeting,6
verwervingsmethode,6
geografisch trefwoord#provincie#plaats,5
geografisch trefwoord#plaats#objectnaam,5
plaats#gemeente#geografisch trefwoord#onderwerp,5
project,5
inschrijvingsproces,5
onderwerp#trefwoord#ingredient,4
rol#onderwerp,4
geografisch trefwoord#plaats#land,4
onderwerp#periode,4
plaats#objectnaam,4
uitleencategorie#materiaalsoort,4
classificatie#geografisch trefwoord,4
objectnaam#techniek,4
objectnaam#plaats,4
classificatie#onderwerp,4
bibliografische vorm,4
niveau,4
uitleencategorie#materiaalsoort#onderwerp#objectnaam#doelgroep#verwervingsmethode,3
onderwerp#beroep#rol,3
onderwerp#objectcategorie,3
plaats#onderwerp#objectnaam,3
onderwerp#beroep,3
geografisch trefwoord#plaats#onderwerp#objectnaam,3
