term.soort,Total_use_count
geografisch trefwoord#provincie#gemeente#plaats,71741
geografisch trefwoord#provincie#plaats#gemeente,66174
onderwerp,655040
onderwerp#geografisch trefwoord,22604
geografisch trefwoord#gemeente#plaats#onderwerp,149105
geografisch trefwoord#provincie#plaats#gemeente#land,14801
geografisch trefwoord#provincie,109569
uitleencategorie#materiaalsoort#onderwerp#klas / afdeling,563
geografisch trefwoord#plaats#gemeente,35898
geografisch trefwoord#provincie#plaats,115638
geografisch trefwoord#provincie#gemeente#plaats#land,33669
onderwerp#plaats,3580
onderwerp#trefwoord#ingredient,1442
geografisch trefwoord#plaats#onderwerp,94767
geografisch trefwoord#gemeente#plaats#filiaal,80303
onderwerp#objectnaam#geografisch trefwoord,1619
onderwerp#onderzoek/gebruik methode,38072
geografisch trefwoord#gemeente#plaats,145589
provincie#geografisch trefwoord,34749
uitleencategorie#onderwerp,665
geografisch trefwoord,164260
rol#onderwerp,45708
onderwerp#rol#klas / afdeling#inschrijvingsproces,339
geografisch trefwoord#onderwerp,45628
geografisch trefwoord#onderwerp#doelgroep,2427
rol#onderwerp#beroep,564470
onderwerp#bibliografische vorm,171
geografisch trefwoord#land#plaats,420021
geografisch trefwoord#plaats#gemeente#onderwerp,146777
geografisch trefwoord#land,23337
geografisch trefwoord#plaats,77742
onderwerp#materiaalsoort,14737
onderwerp#objectcategorie#materiaal#objectnaam,1096
geografisch trefwoord#gemeente#plaats#materiaal#objectnaam#onderwerp,3779
geografisch trefwoord#plaats#land#onderwerp,2637
geografisch trefwoord#plaats#land,3487
onderwerp#materiaal#objectnaam,5155
geografisch trefwoord#gemeente,1623
materiaalsoort#collectie#onderwerp#rol#uitleencategorie,5811
geografisch trefwoord#objectnaam,592
geografisch trefwoord#onderwerp#objectnaam,1284
onderwerp#objectnaam#materiaal,1476
geografisch trefwoord#gemeente#onderwerp,10163
geografisch trefwoord#onderwerp#plaats,1445
geografisch trefwoord#onderwerp#gemeente,151
onderwerp#objectnaam,217270
onderwerp#klas / afdeling,792
geografisch trefwoord#gemeente#plaats#filiaal#onderwerp,599995
onderwerp#materiaal,1541
geografisch trefwoord#onderwerp#periode,6158
onderwerp#motief,910
plaats#onderwerp#geografisch trefwoord,1974
geografisch trefwoord#onderwerp#objectnaam#plaats,294
uitleencategorie#materiaalsoort#onderwerp#objectnaam#doelgroep#verwervingsmethode,394144
onderwerp#materiaal#objectnaam#klas / afdeling,81
geografisch trefwoord#gemeente#onderwerp#plaats,3159
onderwerp#eigennaam,11820
geografisch trefwoord#onderwerp#materiaal#objectnaam,65
onderwerp#materiaal#objectcategorie#objectnaam,494
plaats#taal#onderwerp#objectnaam,172
onderwerp#objectcategorie#materiaal,137
